ID,List Price,Duplex?,Bedrooms,Baths - Total,Baths - Full,Baths - Half,Stories,Subdivision,Square Footage,Year Built,Acreage,New Owned?,House Style,Covered Parking Spots,Misc Exterior,Has Pool?,Has Dock?,Fenced Yard,Screened Porch?,Amenities,Golf Course?,Fireplace?,Number of Fireplaces
120,"$523,900",No,3,2,2,0,1,Dunes West,2243,1993,1.03,No,Ranch,2,Misc Exterior: Deck; Lawn Irrigation; Porch - Screened; Thermal Windows/Doors,No,No,No,Yes,Amenities: Club House; Club Membership Available; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup,Yes,Yes,2
121,"$490,000",No,4,3.5,3,1,2,Dunes West,2956,2003,0.25,No,Traditional,2,Misc Exterior: Fence - Wooden Enclosed; Porch - Front Porch; Porch - Screened; Storm Doors,No,No,Yes,Yes,Amenities: Boat Storage; Cable TV Available; Club House; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
122,"$469,900",No,5,3,3,0,2,Dunes West,2709,2004,0.3,No,Traditional,2,Misc Exterior: Gutters; Patio; Porch - Front Porch; Porch - Screened,No,No,No,Yes,Amenities: Cable TV Available; Golf; Neighborhood Pool; Security Guard/Sys; Tennis Court; Trash Pickup,Yes,Yes,1
123,"$445,000",No,5,2.5,2,1,2,Dunes West,3005,1997,0.33,Yes,Traditional,2,Misc Exterior: Fence - Wooden Enclosed; Gutters; Lawn Irrigation; Patio; Porch - Screened,No,No,Yes,Yes,Amenities: Boat Storage; Cable TV Available; Club House; Club Membership Available; Dock Facilities; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Tennis Court; Walk/Jog Trails,Yes,Yes,1
124,"$445,000",No,5,2.5,2,1,2,Dunes West,2816,1998,0.24,No,Traditional,2,Misc Exterior: Fence - Partial; Fence - Wooden Enclosed; Porch - Screened,No,No,Yes,Yes,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Exercise Area; Extra Storage; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Walk/Jog Trails,Yes,Yes,1
125,"$445,000",No,3,2,2,0,1,Dunes West,2093,2003,0.45,No,Traditional,2,Misc Exterior: Gutters; Patio; Other (Use Remarks),No,No,No,No,Amenities: Cable TV Available; Club House; Club Membership Available; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
126,"$440,000",No,4,2.5,2,1,2,Dunes West,2524,2003,0.36,No,Traditional,2,Misc Exterior: Deck; Fence - Wooden Enclosed; Lawn Irrigation; Porch - Full Front; Porch - Screened,No,No,Yes,Yes,Amenities: Club House; Golf Membership Available; Neighborhood Pool; Play Park; Security Guard/Sys; Tennis Court; Walk/Jog Trails,Yes,Yes,1
127,"$430,000",No,3,2,2,0,1,Dunes West,2112,2003,0.39,No,Ranch,2,Misc Exterior: Fence - Wooden Enclosed; Gutters; Lawn Irrigation; Patio,No,No,Yes,No,Amenities: Boat Ramp; Boat Storage; Cable TV Available; Club House; Club Membership Available; Exercise Area; Gated Comm; Golf; Golf Membership Available; Neighborhood Pool; Security Guard/Sys; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
128,"$399,000",No,4,2.5,2,1,2,Dunes West,2445,1993,0.26,No,Traditional,2,Misc Exterior: Fence - Wooden Enclosed; Gazebo; Lawn Irrigation; Patio; Porch - Screened; Storage/Outbuilding,No,No,Yes,Yes,Amenities: Cable TV Available; Club House; Club Membership Available; Golf; Golf Membership Available; Neighborhood Pool; Play Park; Tennis Court; Trash Pickup,Yes,Yes,1
129,"$389,900",No,4,2.5,2,1,2,Dunes West,2142,1997,0.3,No,Traditional,2,Misc Exterior: Gutters; Patio; Porch - Screened,No,No,No,Yes,Amenities: Cable TV Available; Club Membership Available; Play Park; Trash Pickup; Walk/Jog Trails,No,Yes,1
130,"$349,900",No,3,2.5,2,1,2,Dunes West,1699,1998,0.23,No,Traditional,2,Misc Exterior: Patio; Porch - Full Front,No,No,No,No,Amenities: Cable TV Available; Club House; Club Membership Available; Neighborhood Pool; Tennis Court; Trash Pickup,No,Yes,1
131,"$349,900",No,3,2,2,0,1,Dunes West,1428,1997,0.17,No,Ranch,2,Misc Exterior: Fence - Wooden Enclosed; Gutters; Patio; Porch - Screened,No,No,Yes,Yes,Amenities: Cable TV Available; Club Membership Available; Exercise Area; Golf Membership Available; Neighborhood Pool; Play Park; Tennis Court; Trash Pickup; Walk/Jog Trails,Yes,Yes,1
